COD_CURSO,NOME_CURSO,ANO_EVASAO,PERIODO_EVASAO,FORMA_EVASAO,NATURALIDADE,QTDE
10,Física,2015,1º Semestre,Desligamento,Resplendor,1
10,Física,2015,NA,Desistência,Espirito Santo,1
10,Física,2015,NA,Desistência,Governador Valadares,1
10,Física,2015,NA,Desistência,Nanuque,1
10,Física,2015,NA,Desistência,Vitoria,5
10,Física,2015,NA,Desistência,NA,10
10,Física,2015,NA,Formado,NA,1
10,Física,2015,NA,Outros,Vitoria,1
10,Física,2015,NA,Formado,Aracaju,1
10,Física,2015,NA,Formado,Itabira,1
10 B,Física - Bacharelado,2015,1º Semestre,Desistência,Aimores,1
10 B,Física - Bacharelado,2015,1º Semestre,Desistência,Caceres,1
10 B,Física - Bacharelado,2015,1º Semestre,Desistência,Cachoeiro De Itapemirim,1
10 B,Física - Bacharelado,2015,1º Semestre,Desistência,Rio De Janeiro,1
10 B,Física - Bacharelado,2015,1º Semestre,Desistência,Sao Mateus,1
10 B,Física - Bacharelado,2015,1º Semestre,Desistência,Serra,1
10 B,Física - Bacharelado,2015,1º Semestre,Desistência,Vila Velha,2
10 B,Física - Bacharelado,2015,1º Semestre,Desistência,Vitoria,3
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Belem,1
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Belo Horizonte,1
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Bom Jesus Do Itabapoana,1
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Cachoeiro De Itapemirim,1
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Cariacica,2
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Cidade Indefinida,1
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Itamaraju,1
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Itarana,1
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Joao Monlevade,1
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Muriae,1
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Vila Velha,2
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Vitoria,6
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Rio De Janeiro,1
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Sao Joao De Meriti,1
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Vila Velha,1
10 B,Física - Bacharelado,2015,1º Semestre,Desligamento,Vitoria,2
10 B,Física - Bacharelado,2015,1º Semestre,Formado,Alto Alegre Dos Parecis,1
10 B,Física - Bacharelado,2015,1º Semestre,Formado,Guarapari,1
10 B,Física - Bacharelado,2015,1º Semestre,Formado,Teixeira De Freitas,1
10 B,Física - Bacharelado,2015,1º Semestre,Formado,Vila Velha,1
10 B,Física - Bacharelado,2015,1º Semestre,Formado,Vitoria,1
10 B,Física - Bacharelado,2015,2º Semestre,Desistência,Carangola,1
10 B,Física - Bacharelado,2015,2º Semestre,Desistência,Ibirapua,1
10 B,Física - Bacharelado,2015,2º Semestre,Desistência,Ipatinga,1
10 B,Física - Bacharelado,2015,2º Semestre,Desistência,Nova Venecia,1
10 B,Física - Bacharelado,2015,2º Semestre,Desistência,Sao Joao Del Rei,1
10 B,Física - Bacharelado,2015,2º Semestre,Desistência,Vitoria,8
10 B,Física - Bacharelado,2015,2º Semestre,Desligamento,Belem,1
10 B,Física - Bacharelado,2015,2º Semestre,Desligamento,Guarapari,1
10 B,Física - Bacharelado,2015,2º Semestre,Desligamento,Mage,1
10 B,Física - Bacharelado,2015,2º Semestre,Desligamento,Rio De Janeiro,1
10 B,Física - Bacharelado,2015,2º Semestre,Desligamento,Santo Andre,1
10 B,Física - Bacharelado,2015,2º Semestre,Desligamento,Vila Velha,3
10 B,Física - Bacharelado,2015,2º Semestre,Desligamento,Vitoria,5
10 B,Física - Bacharelado,2015,2º Semestre,Desligamento,Campos Dos Goytacazes,1
10 B,Física - Bacharelado,2015,2º Semestre,Desligamento,Eunapolis,1
10 B,Física - Bacharelado,2015,2º Semestre,Desligamento,Vila Velha,1
10 B,Física - Bacharelado,2015,2º Semestre,Formado,Cariacica,1
10 B,Física - Bacharelado,2015,2º Semestre,Formado,Colatina,1
10 B,Física - Bacharelado,2015,2º Semestre,Formado,Vila Velha,1
10 B,Física - Bacharelado,2015,2º Semestre,Formado,Vitoria,2
10 B,Física - Bacharelado,2015,2º Semestre,Outros,Vitoria,3
10 B,Física - Bacharelado,2015,2º Semestre,Outros,Vitoria,1
10 B,Física - Bacharelado,2015,NA,Outros,Abaiara,1
10 B,Física - Bacharelado,2015,NA,Outros,Afonso Claudio,1
10 B,Física - Bacharelado,2015,NA,Outros,Aimores,1
10 B,Física - Bacharelado,2015,NA,Outros,Alegre,1
10 B,Física - Bacharelado,2015,NA,Outros,Anchieta,3
10 B,Física - Bacharelado,2015,NA,Outros,Barra De Sao Francisco,1
10 B,Física - Bacharelado,2015,NA,Outros,Belo Horizonte,1
10 B,Física - Bacharelado,2015,NA,Outros,Brasilia,3
10 B,Física - Bacharelado,2015,NA,Outros,Cachoeiro De Itapemirim,2
10 B,Física - Bacharelado,2015,NA,Outros,Cacoal,2
10 B,Física - Bacharelado,2015,NA,Outros,Campos Dos Goytacazes,3
